alias_id,career_id,alias,alias_type,source_id,verification_status
alias_0001,cr_0001,Research Assistant,searchable_title,,curated_search_term
alias_0002,cr_0001,Research Technician,searchable_title,,curated_search_term
alias_0003,cr_0001,Lab Technician,searchable_title,,curated_search_term
alias_0004,cr_0001,Research Associate,searchable_title,,curated_search_term
alias_0005,cr_0001,Behavioral Research Assistant,alternate_term,,curated_search_term
alias_0006,cr_0001,Animal Behavior Technician,alternate_term,,curated_search_term
alias_0007,cr_0002,Applied Animal Behaviorist,searchable_title,,curated_search_term
alias_0008,cr_0002,Animal Behavior Scientist,searchable_title,,curated_search_term
alias_0009,cr_0002,Behavior Scientist,searchable_title,,curated_search_term
alias_0010,cr_0002,Research Scientist,searchable_title,,curated_search_term
alias_0011,cr_0002,Behaviorist,alternate_term,,curated_search_term
alias_0012,cr_0002,Applied Animal Behaviorist,alternate_term,,curated_search_term
alias_0013,cr_0002,Ethologist,alternate_term,,curated_search_term
alias_0014,cr_0003,Research Assistant,searchable_title,,curated_search_term
alias_0015,cr_0003,Research Scientist,searchable_title,,curated_search_term
alias_0016,cr_0003,Postdoctoral Fellow,searchable_title,,curated_search_term
alias_0017,cr_0003,Professor,searchable_title,,curated_search_term
alias_0018,cr_0003,Comparative Cognition Scientist,alternate_term,,curated_search_term
alias_0019,cr_0003,Animal Cognition Researcher,alternate_term,,curated_search_term
alias_0020,cr_0003,Comparative Psychologist,alternate_term,,curated_search_term
alias_0021,cr_0004,Research Scientist,searchable_title,,curated_search_term
alias_0022,cr_0004,Postdoctoral Fellow,searchable_title,,curated_search_term
alias_0023,cr_0004,Professor,searchable_title,,curated_search_term
alias_0024,cr_0004,Research Assistant,searchable_title,,curated_search_term
alias_0025,cr_0004,Learning & Behavior Researcher,alternate_term,,curated_search_term
alias_0026,cr_0004,Comparative Learning Researcher,alternate_term,,curated_search_term
alias_0027,cr_0004,Experimental Psychologist,alternate_term,,curated_search_term
alias_0028,cr_0005,Research Scientist,searchable_title,,curated_search_term
alias_0029,cr_0005,Postdoctoral Fellow,searchable_title,,curated_search_term
alias_0030,cr_0005,Professor,searchable_title,,curated_search_term
alias_0031,cr_0005,Animal Communication Scientist,alternate_term,,curated_search_term
alias_0032,cr_0005,Bioacoustics Researcher,alternate_term,,curated_search_term
alias_0033,cr_0005,Behavioral Ecologist,alternate_term,,curated_search_term
alias_0034,cr_0006,Animal Welfare Scientist,searchable_title,,curated_search_term
alias_0035,cr_0006,Animal Welfare & Behaviour Scientist,searchable_title,,curated_search_term
alias_0036,cr_0006,Research Scientist,searchable_title,,curated_search_term
alias_0037,cr_0006,Applied Animal Welfare Scientist,alternate_term,,curated_search_term
alias_0038,cr_0006,Welfare Research Scientist,alternate_term,,curated_search_term
alias_0039,cr_0007,Animal Welfare Specialist,searchable_title,,curated_search_term
alias_0040,cr_0007,Behavior Coordinator,searchable_title,,curated_search_term
alias_0041,cr_0007,Clinical Animal Behavior Coordinator,searchable_title,,curated_search_term
alias_0042,cr_0007,Behavior Manager,searchable_title,,curated_search_term
alias_0043,cr_0007,Welfare Coordinator,alternate_term,,curated_search_term
alias_0044,cr_0007,Animal Behavior Coordinator,alternate_term,,curated_search_term
alias_0045,cr_0008,Behavioral Husbandry Manager,searchable_title,,curated_search_term
alias_0046,cr_0008,Curator of Behavioral Husbandry,searchable_title,,curated_search_term
alias_0047,cr_0008,Animal Behavior Manager,searchable_title,,curated_search_term
alias_0048,cr_0008,Behavioral Husbandry Specialist,alternate_term,,curated_search_term
alias_0049,cr_0008,Training & Enrichment Specialist,alternate_term,,curated_search_term
alias_0050,cr_0009,Enrichment Manager,searchable_title,,curated_search_term
alias_0051,cr_0009,Behavioral Husbandry & Enrichment Manager,searchable_title,,curated_search_term
alias_0052,cr_0009,Animal Welfare Specialist,searchable_title,,curated_search_term
alias_0053,cr_0009,Enrichment Coordinator,alternate_term,,curated_search_term
alias_0054,cr_0009,Enrichment Specialist,alternate_term,,curated_search_term
alias_0055,cr_0010,Animal Trainer,searchable_title,,curated_search_term
alias_0056,cr_0010,Keeper/Trainer,searchable_title,,curated_search_term
alias_0057,cr_0010,Marine Mammal Trainer,searchable_title,,curated_search_term
alias_0058,cr_0010,Positive-Reinforcement Trainer,alternate_term,,curated_search_term
alias_0059,cr_0010,Behavior Trainer,alternate_term,,curated_search_term
alias_0060,cr_0011,Service Dog Trainer,searchable_title,,curated_search_term
alias_0061,cr_0011,Guide Dog Trainer,searchable_title,,curated_search_term
alias_0062,cr_0011,Guide Dog Instructor,searchable_title,,curated_search_term
alias_0063,cr_0011,Guide Dog Mobility Instructor,searchable_title,,curated_search_term
alias_0064,cr_0011,Assistance Dog Trainer,alternate_term,,curated_search_term
alias_0065,cr_0011,Service Animal Trainer,alternate_term,,curated_search_term
alias_0066,cr_0012,Behavior Manager,searchable_title,,curated_search_term
