career_id,name,evidence_status,role_kind,last_verified,observed_titles,current_recent_postings,salary_observations,explicit_evidence,credentials,qualification_profiles,progression_edges_out,progression_edges_in
cr_0079,Ambassador animal specialist / animal programs keeper,verified_current_market,career,2026-09-08,1,1,0,0,0,0,0,1
cr_0001,Animal behavior research assistant / technician,verified_current_market,career,2026-09-08,1,1,0,0,0,0,0,0
cr_0002,Animal behaviorist / applied animal behavior scientist,verified_function_title_varies,career,2026-09-08,0,0,0,1,2,0,0,0
cr_0022,Animal collection / management specialist,verified_function_title_varies,later_career,2026-09-08,0,0,0,0,0,0,0,4
cr_0005,Animal communication researcher,verified_current_market,scientific_specialty,2026-09-08,1,1,1,0,0,0,0,0
cr_0004,Animal learning researcher,established_scientific_specialty,scientific_specialty,2026-09-08,0,0,0,0,0,0,0,0
cr_0046,Animal physiologist,established_scientific_specialty,scientific_specialty,2026-09-08,1,0,0,0,0,0,0,0
cr_0007,Animal welfare / behavior coordinator,verified_function_title_varies,career,2026-09-08,0,0,0,0,0,0,0,1
cr_0006,Animal welfare scientist,verified_occupation_or_title,career,2026-09-08,0,0,0,0,0,0,0,1
cr_0015,Aquarist / aquarium animal-care specialist,verified_current_market,career,2026-09-08,2,2,1,0,0,0,2,0
cr_0032,Behavioral ecologist,established_scientific_specialty,scientific_specialty,2026-09-08,0,0,0,0,0,0,0,0
cr_0008,Behavioral husbandry specialist,verified_function_title_varies,career,2026-09-08,0,0,0,0,0,0,2,0
cr_0080,Canine behavior consultant,verified_professional_role,career,2026-09-08,0,0,0,1,1,0,0,2
cr_0013,Companion-animal behavior researcher,established_scientific_specialty,scientific_specialty,2026-09-08,0,0,0,0,0,0,0,0
cr_0003,Comparative cognition researcher,established_scientific_specialty,scientific_specialty,2026-09-08,0,0,0,0,0,0,0,0
cr_0057,Conservation NGO scientist / coordinator,verified_current_market,career,2026-09-08,1,1,0,0,0,0,0,0
cr_0033,Conservation biologist,verified_occupation_or_title,career,2026-09-08,0,0,0,0,0,0,0,0
cr_0084,Conservation delivery / habitat program coordinator,verified_current_market,career,2026-09-08,2,2,1,1,0,0,1,1
cr_0086,Conservation geneticist / wildlife genomicist,verified_current_market,scientific_specialty,2026-09-08,3,1,1,1,0,1,1,1
cr_0071,Conservation outreach / program coordinator,verified_current_market,career,2026-09-08,1,1,0,0,0,0,0,1
cr_0021,Conservation-breeding scientist,established_scientific_specialty,scientific_specialty,2026-09-08,0,0,0,0,0,0,0,1
cr_0020,Conservation-breeding technician,verified_function_title_varies,career,2026-09-08,0,0,0,0,0,0,2,0
cr_0088,Ecological data scientist,verified_professional_role,scientific_specialty,2026-09-08,1,0,0,1,0,0,1,1
cr_0045,Ecological research technician,verified_function_title_varies,career,2026-09-08,0,0,0,0,0,0,0,0
cr_0034,Endangered-species biologist,verified_function_title_varies,career,2026-09-08,0,0,0,0,0,0,0,0
cr_0009,Enrichment coordinator / specialist,verified_function_title_varies,career,2026-09-08,0,0,0,0,0,0,0,0
cr_0052,Environmental consultant — wildlife/ecology,verified_function_title_varies,career,2026-09-08,0,0,0,0,0,0,0,0
cr_0053,Environmental permitting / compliance biologist,verified_occupation_or_title,career,2026-09-08,0,0,0,0,0,0,0,0
cr_0048,Evolutionary biologist studying animals,verified_function_title_varies,career,2026-09-08,0,0,0,0,0,0,0,0
cr_0044,Field ecologist,verified_occupation_or_title,career,2026-09-08,0,0,0,0,0,0,0,0
cr_0049,GIS / wildlife spatial analyst,verified_function_title_varies,career,2026-09-08,1,0,0,0,0,0,2,1
cr_0039,Habitat / wildlife management biologist,verified_current_market,career,2026-09-08,1,1,0,0,1,0,1,1
cr_0058,Habitat restoration / ecological-monitoring specialist,verified_function_title_varies,career,2026-09-08,0,0,0,0,0,0,0,0
cr_0043,Herpetologist,established_scientific_specialty,scientific_specialty,2026-09-08,0,0,0,0,0,0,0,0
cr_0092,Human dimensions / conservation social scientist,verified_professional_role,scientific_specialty,2026-09-08,0,0,0,0,0,0,0,0
cr_0038,Human-wildlife conflict specialist,verified_occupation_or_title,career,2026-09-08,0,0,0,0,0,0,0,0
