posting_id,career_id,title,employer,location,posted_date,retrieved_date,employment_type,education_min,experience_min,salary_min,salary_max,salary_unit,currency,source_id,url,active_status,notes
post_0001,cr_0014,Primates - Animal Care Specialist,Brookfield Zoo Chicago,"Brookfield, IL",2026-09-08,2026-09-08,,,,,,annual,USD,src_aza_jobs,https://www.aza.org/JOBS/,current_or_recent,Current on AZA board.
post_0002,cr_0014,Herpetology Keeper I or II,Nashville Zoo,"Nashville, TN",2026-09-08,2026-09-08,,,,,,annual,USD,src_aza_jobs,https://www.aza.org/JOBS/,current_or_recent,Current on AZA board.
post_0003,cr_0079,Animal Ambassador Lead,Virginia Zoo Society,"Norfolk, VA",2026-09-08,2026-09-08,,,,,,annual,USD,src_aza_jobs,https://www.aza.org/JOBS/,current_or_recent,Current on AZA board.
post_0004,cr_0078,Full-Time Animal Trainer,"Natural Encounters, Inc.","Winter Haven, FL",2026-09-08,2026-09-08,,,,,,annual,USD,src_aza_jobs,https://www.aza.org/JOBS/,current_or_recent,Current on AZA board.
post_0005,cr_0014,Animal Keeper I,Sunset Zoo,"Manhattan, KS",2026-09-07,2026-09-08,,,,,,annual,USD,src_aza_jobs,https://www.aza.org/JOBS/,current_or_recent,Current on AZA board.
post_0006,cr_0014,Animal Care Specialist,Greenville Zoo,"Greenville, SC",2026-09-07,2026-09-08,,High school; related associate/bachelor preferred,1 year professional exotic animal care,44512.0,56472.0,annual,USD,src_aza_animalcare,https://www.aza.org/JOBS?job=52646,current_or_recent,Current posting; related college degree preferred.
post_0007,cr_0023,Animal Curator,Mesker Park Zoo and Botanic Garden,"Evansville, IN",2026-09-06,2026-09-08,,,5 years animal curator preferred,68000.0,68000.0,annual,USD,src_aza_curator,https://www.aza.org/Jobs/?job=52644,current_or_recent,Current posting.
post_0008,cr_0023,Assistant / Associate Curator (Avian Team),Akron Zoo,"Akron, OH",2026-09-04,2026-09-08,,,,,,annual,USD,src_aza_jobs,https://www.aza.org/JOBS/,current_or_recent,Current on AZA board.
post_0009,cr_0014,Elephant Keeper,Fort Worth Zoo,"Fort Worth, TX",2026-09-04,2026-09-08,,,,,,annual,USD,src_aza_jobs,https://www.aza.org/JOBS/,current_or_recent,Current on AZA board.
post_0010,cr_0071,Outreach Specialist,Fort Worth Zoo,"Fort Worth, TX",2026-09-04,2026-09-08,,,,,,annual,USD,src_aza_jobs,https://www.aza.org/JOBS/,current_or_recent,Current on AZA board.
post_0011,cr_0014,Pachyderm Animal Care Support Tech,Oklahoma City Zoo,"Oklahoma City, OK",2026-09-04,2026-09-08,,,,,,annual,USD,src_aza_jobs,https://www.aza.org/JOBS/,current_or_recent,Current on AZA board.
post_0012,cr_0016,Avian Care Specialist,Oasis Sanctuary Foundation,"Benson, AZ",2026-09-04,2026-09-08,,,,,,annual,USD,src_aza_jobs,https://www.aza.org/JOBS/,current_or_recent,Current on AZA board.
post_0013,cr_0077,Animal Nutrition Coordinator,Houston Zoo,"Houston, TX",2026-09-03,2026-09-08,,,,,,annual,USD,src_aza_jobs,https://www.aza.org/Jobs/,current_or_recent,Current on AZA board.
post_0014,cr_0078,Senior Training - Pinnipeds,Georgia Aquarium,"Atlanta, GA",2026-09-02,2026-09-08,,,,,,annual,USD,src_aza_jobs,https://www.aza.org/Jobs/,current_or_recent,Current on AZA board.
post_0015,cr_0015,Dive Coordinator,Texas State Aquarium,"Corpus Christi, TX",2026-09-02,2026-09-08,,,,,,annual,USD,src_aza_jobs,https://www.aza.org/Jobs/,current_or_recent,Adjacent aquarium-care/operations role.
post_0016,cr_0028,Wildlife Care Specialist Hospital,San Diego Zoo Wildlife Alliance,"San Diego, CA",2026-09-01,2026-09-08,,,,,,annual,USD,src_aza_jobs,https://www.aza.org/JOBS?LOCALE=EN,current_or_recent,Current on AZA board.
post_0017,cr_0069,Wildlife Education Curator,Arizona Game and Fish Department,"Phoenix, AZ",2026-09-01,2026-09-08,,,,,,annual,USD,src_aza_jobs,https://www.aza.org/JOBS?LOCALE=EN,current_or_recent,Current on AZA board.
post_0018,cr_0078,Assistant Trainer - Belugas,Mystic Aquarium,"Mystic, CT",2026-09-01,2026-09-08,,,,,,annual,USD,src_aza_jobs,https://www.aza.org/JOBS?LOCALE=EN,current_or_recent,Current on AZA board.
post_0019,cr_0026,OCIC Field Technician,Central Florida Zoo,"Sanford, FL",2026-09-01,2026-09-08,,,,,,annual,USD,src_aza_jobs,https://www.aza.org/JOBS?LOCALE=EN,current_or_recent,Current conservation field role on AZA board.
post_0020,cr_0017,Curator of Behavioral Husbandry,Gladys Porter Zoo,"Brownsville, TX",2026-06-18,2026-09-08,,,Highly experienced,,,annual,USD,src_aza_curator_behavior,https://www.aza.org/jobs?job=51772,current_or_recent,Institution-wide behavioral-husbandry leadership.
post_0021,cr_0017,"Wildlife Care Specialist, Behavior",San Diego Zoo Wildlife Alliance,"Escondido, CA",2026-06-04,2026-09-08,,,,,,annual,USD,src_aza_wildlife_behavior,https://www.aza.org/jobs?job=51629,current_or_recent,"Training, handling, care, and public-program wildlife role."
post_0022,cr_0001,Animal Behavioral Research Assistant,Brookfield Zoo Chicago,"Brookfield, IL",2026-06-04,2026-09-08,,,,,,annual,USD,src_aza_jobs,https://www.aza.org/jobs?locale=en,current_or_recent,Observed AZA research title.
