review_id,entity_type,entity_id,issue_type,priority,status,created_at,reviewed_at,notes
review_0001,career,cr_0001,progression_coverage,low,open,2026-09-08,,"Research explicit natural-growth, lateral, or specialization transitions."
review_0002,career,cr_0002,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0003,career,cr_0002,progression_coverage,low,open,2026-09-08,,"Research explicit natural-growth, lateral, or specialization transitions."
review_0004,career,cr_0003,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0005,career,cr_0004,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0006,career,cr_0006,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0007,career,cr_0007,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0008,career,cr_0008,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0009,career,cr_0009,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0010,career,cr_0009,progression_coverage,low,open,2026-09-08,,"Research explicit natural-growth, lateral, or specialization transitions."
review_0011,career,cr_0010,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0012,career,cr_0011,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0013,career,cr_0011,progression_coverage,low,open,2026-09-08,,"Research explicit natural-growth, lateral, or specialization transitions."
review_0014,career,cr_0012,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0015,career,cr_0013,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0016,career,cr_0016,progression_coverage,low,open,2026-09-08,,"Research explicit natural-growth, lateral, or specialization transitions."
review_0017,career,cr_0018,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0018,career,cr_0018,progression_coverage,low,open,2026-09-08,,"Research explicit natural-growth, lateral, or specialization transitions."
review_0019,career,cr_0019,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0020,career,cr_0019,progression_coverage,low,open,2026-09-08,,"Research explicit natural-growth, lateral, or specialization transitions."
review_0021,career,cr_0020,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0022,career,cr_0021,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0023,career,cr_0022,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0024,career,cr_0024,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0025,career,cr_0025,progression_coverage,low,open,2026-09-08,,"Research explicit natural-growth, lateral, or specialization transitions."
review_0026,career,cr_0029,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0027,career,cr_0030,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0028,career,cr_0031,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0029,career,cr_0032,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0030,career,cr_0033,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0031,career,cr_0033,progression_coverage,low,open,2026-09-08,,"Research explicit natural-growth, lateral, or specialization transitions."
review_0032,career,cr_0034,observed_title_coverage,high,open,2026-09-08,,Find authoritative employer/professional examples of actual titles.
review_0033,career,cr_0034,progression_coverage,low,open,2026-09-08,,"Research explicit natural-growth, lateral, or specialization transitions."
